Country,CountryCode,Lat,Long,Density,Population,Date,Count,DensityGroup
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-18,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-19,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-20,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-21,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-22,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-23,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-24,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-25,1,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-26,1,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-27,1,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-28,1,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-29,1,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-03-01,1,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-03-02,3,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-03-03,5,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-03-04,12,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-03-05,12,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-03-06,17,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-03-07,17,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-03-08,19,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-03-09,20,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-03-10,20,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-03-11,20,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-03-12,24,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-03-13,26,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-03-14,37,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-03-15,48,<=100
